Personality Name,Profession,Source,Link to Individual Personality Sheet,Posts,Instagram Followers,Total Posts Created,Total Posts Published,Engagement Status
Susan Sarandon,Actors,https://www.imdb.com/name/nm0000215,,,,,,
Glenn Close,Actors,https://www.imdb.com/name/nm0000335,,,,,,
Julianne Moore,Actors,https://www.imdb.com/name/nm0000194,,,,,,
Regina King,Actors,https://www.imdb.com/name/nm0005093,,,,,,
Angelina Jolie,Actors,https://www.imdb.com/name/nm0001401,,,,,,
Jane Fonda,Actors,https://www.imdb.com/name/nm0000404,,,,,,
Sandra Bullock,Actors,https://www.imdb.com/name/nm0000113,,,,,,
Emma Thompson,Actors,https://www.imdb.com/name/nm0000668,,,,,,
Michelle Pfeiffer,Actors,https://www.imdb.com/name/nm0000201,,,,,,
Penélope Cruz,Actors,https://www.imdb.com/name/nm0004851,,,,,,
Nicole Kidman,Actors,https://www.imdb.com/name/nm0000173,,,,,,
Sigourney Weaver,Actors,https://www.imdb.com/name/nm0000244,,,,,,
Kathy Bates,Actors,https://www.imdb.com/name/nm0000870,,,,,,
Lucy Liu,Actors,https://www.imdb.com/name/nm0005154,,,,,,
Amy Adams,Actors,https://www.imdb.com/name/nm0010736,,,,,,
Jeff Bridges,Actors,https://www.imdb.com/name/nm0000313,,,,,,
Ben Kingsley,Actors,https://www.imdb.com/name/nm0001426,,,,,,
Tommy Lee Jones,Actors,https://www.imdb.com/name/nm0000169,,,,,,
Robert Redford,Actors,https://www.imdb.com/name/nm0000602,,,,,,
Joaquin Phoenix,Actors,https://www.imdb.com/name/nm0001618,,,,,,
Christopher Walken,Actors,https://www.imdb.com/name/nm0000686,,,,,,
George Clooney,Actors,https://www.imdb.com/name/nm0000123,,,,,,
Bruce Willis,Actors,https://www.imdb.com/name/nm0000246,,,,,,
Ian McKellen,Actors,https://www.imdb.com/name/nm0005212,,,,,,
Russell Crowe,Actors,https://www.imdb.com/name/nm0000128,,,,,,
Bill Murray,Actors,https://www.imdb.com/name/nm0000195,,,,,,
Nicolas Cage,Actors,https://www.imdb.com/name/nm0000115,,,,,,
Brad Pitt,Actors,https://www.imdb.com/name/nm0000093,,,,,,
Kevin Costner,Actors,https://www.imdb.com/name/nm0000126,,,,,,
Donald Sutherland,Actors,https://www.imdb.com/name/nm0000661,,,,,,
Clint Eastwood,Actors,https://www.imdb.com/name/nm0000142,,,,,,
Michael Douglas,Actors,https://www.imdb.com/name/nm0000140,,,,,,
Robert Downey Jr,Actors,https://www.imdb.com/name/nm0000375,,,,,,
Sally Field,Actors,https://www.imdb.com/name/nm0000398,,,,,,
Shirley MacLaine,Actors,https://www.imdb.com/name/nm0000511,,,,,,
Holly Hunter,Actors,https://www.imdb.com/name/nm0000456,,,,,,
Diane Lane,Actors,https://www.imdb.com/name/nm0000178,,,,,,
Jessica Lange,Actors,https://www.imdb.com/name/nm0001448,,,,,,
Frances McDormand,Actors,https://www.imdb.com/name/nm0000531,,,,,,
Bette Midler,Actors,https://www.imdb.com/name/nm0000541,,,,,,
Judi Dench,Actors,https://www.imdb.com/name/nm0001132,,,,,,
Sharon Stone,Actors,https://www.imdb.com/name/nm0000232,,,,,,
Kim Basinger,Actors,https://www.imdb.com/name/nm0000107,,,,,,
Glenda Jackson,Actors,https://www.imdb.com/name/nm0413559,,,,,,
Demi Moore,Actors,https://www.imdb.com/name/nm0000193,,,,,,
Anne Hathaway,Actors,https://www.imdb.com/name/nm0004266,,,,,,
Geena Davis,Actors,https://www.imdb.com/name/nm0000133,,,,,,
Woody Allen,Actors,https://www.imdb.com/name/nm0000095,,,,,,
Mel Gibson,Actors,https://www.imdb.com/name/nm0000154,,,,,,
Jim Carrey,Actors,https://www.imdb.com/name/nm0000120,,,,,,
Mark Wahlberg,Actors,https://www.imdb.com/name/nm0000242,,,,,,
Steve Martin,Actors,https://www.imdb.com/name/nm0000188,,,,,,
Javier Bardem,Actors,https://www.imdb.com/name/nm0000849,,,,,,
Christoph Waltz,Actors,https://www.imdb.com/name/nm0910607,,,,,,
Tim Robbins,Actors,https://www.imdb.com/name/nm0000209,,,,,,
Arnold Schwarzenegger,Actors,https://www.imdb.com/name/nm0000216,,,,,,
Sylvester Stallone,Actors,https://www.imdb.com/name/nm0000230,,,,,,
Viggo Mortensen,Actors,https://www.imdb.com/name/nm0001557,,,,,,
Geoffrey Rush,Actors,https://www.imdb.com/name/nm0001691,,,,,,
Alec Baldwin,Actors,https://www.imdb.com/name/nm0000285,,,,,,
James Caan,Actors,https://www.imdb.com/name/nm0001001,,,,,,
Chiwetel Ejiofor,Actors,https://www.imdb.com/name/nm0252230,,,,,,
Mads Mikkelsen,Actors,https://www.imdb.com/name/nm0586568,,,,,,
Ben Stiller,Actors,https://www.imdb.com/name/nm0001774,,,,,,
Raul de Armas,Architects,https://en.wikipedia.org/wiki/Raul_de_Armas,https://drive.google.com/drive/folders/1CYj3yYloJ53Jc-wP-OPU8fkt7NMZNFKr?usp=drive_link,,,,,
Hisham N. Ashkouri,Architects,https://en.wikipedia.org/wiki/Hisham_N._Ashkouri,https://drive.google.com/drive/folders/1Y2BxtxChzIh9oJJYj1HPfju2sFaklPeR?usp=drive_link,,,,,
Fritz Auer,Architects,https://en.wikipedia.org/wiki/Fritz_Auer,https://drive.google.com/drive/folders/1QBERT-L_LJvTTWV2Pdj29iW8TnncLAFl?usp=drive_link,,,,,
Garry Baverstock,Architects,https://en.wikipedia.org/wiki/Garry_Baverstock,https://drive.google.com/drive/folders/1F3sWOMXRnf_JRhEX4SBmpHl59oFzeCUg?usp=drive_link,,,,,
Dariush Borbor,Architects,https://en.wikipedia.org/wiki/Dariush_Borbor,https://drive.google.com/drive/folders/1CV4ogAPCtEaDgj6wYGwbFhxT92P4JA-j?usp=drive_link,,,,,
Mario Botta,Architects,https://en.wikipedia.org/wiki/Mario_Botta,https://drive.google.com/drive/folders/11jQDWFSP0iQRsMD05e5GycvlFIZhhTrj?usp=drive_link,,,,,
John Burgee,Architects,https://en.wikipedia.org/wiki/John_Burgee,https://drive.google.com/drive/folders/1DK6qFCHUL608wAdye6iRQdD5b4mmIqZO?usp=sharing,,,,,
Santiago Calatrava,Architects,https://en.wikipedia.org/wiki/Santiago_Calatrava,https://drive.google.com/drive/folders/1C02PhLbMJ8q1jumynbX6DrLgLmSwpZXb?usp=sharing,,,,,
Peter Calthorpe,Architects,https://en.wikipedia.org/wiki/Peter_Calthorpe,https://drive.google.com/drive/folders/1JJC_2f3w04cbW_CyYmmbeaEwUIfsL1oX?usp=sharing,,,,,
Alberto Campo Baeza,Architects,https://en.wikipedia.org/wiki/Alberto_Campo_Baeza,https://drive.google.com/drive/folders/1vhJPTjt3Gwwb8dKTYVcUQw_eblo1z90L?usp=sharing,,,,,
Ann R. Chaintreuil,Architects,https://en.wikipedia.org/wiki/Ann_R._Chaintreuil,https://drive.google.com/drive/folders/1XNYn5ZVBbbad5OIqXAN15Kta-1kixzjq?usp=drive_link,,,,,
David Chipperfield,Architects,https://en.wikipedia.org/wiki/David_Chipperfield,https://drive.google.com/drive/folders/10hu-WG1CjoDY6BfWI-vI-g1BRJ2CMBLQ?usp=share_link,,,,,
Coleman Coker,Architects,https://en.wikipedia.org/wiki/Coleman_Coker,https://drive.google.com/drive/folders/17dhdr0PnU05isZZzkfrntnWOefuGy3-j?usp=drive_link,,,,,
Peter Cook,Architects,https://en.wikipedia.org/wiki/Peter_Cook_(architect),https://drive.google.com/drive/folders/1jLt0ZLPgTaq2NTWWItE-VWfn9Ls_b1Xo?usp=drive_link,,,,,
Golnaz Abdoli,Photographers,https://www.all-about-photo.com/photographers/photographer/1100/golnaz-abdoli,https://drive.google.com/drive/folders/1-jUHV5T5-UokpsiPrRaCqq_cSWOxhFBY?usp=drive_link,,132,,,
Mustafa Abdulhadi,Photographers,https://www.all-about-photo.com/photographers/photographer/1004/mustafa-abdulhadi,https://drive.google.com/drive/folders/16SGS0Uf0sS0_hWQMgQtZxwb5P5ZT9hCk?usp=drive_link,,,,,
Andrea Abrego,Photographers,https://www.all-about-photo.com/photographers/photographer/661/andrea-abrego,https://drive.google.com/drive/folders/1fqP92dPi_DKrDawtR1eCltzLjtGhVHSj?usp=drive_link,,,,,
Deb Achak,Photographers,https://www.all-about-photo.com/photographers/photographer/671/deb-achak,https://drive.google.com/drive/folders/1236p6vWG0mstYBdP3NFpp3cMdnwS_Rj4?usp=drive_link,,,,,
Robert Adams,Photographers,https://www.all-about-photo.com/photographers/photographer/414/robert-adams,https://drive.google.com/drive/folders/14ksbauX7URci66VTAiSRhqz1rIAyqdaJ?usp=drive_link,,,,,
Iolo Adams,Photographers,https://www.all-about-photo.com/photographers/photographer/745/iolo-adams,https://drive.google.com/drive/folders/1wF4RWVIOjs85qAWOFyskspeNdOctgZS-?usp=drive_link,,,,,
Dhiky Aditya,Photographers,https://www.all-about-photo.com/photographers/photographer/789/dhiky-aditya,https://drive.google.com/drive/folders/1pNPDoSwQ1bw9Dv67yLmojAjEYwkZcRS6?usp=drive_link,,,,,
Mariëtte Aernoudts,Photographers,https://www.all-about-photo.com/photographers/photographer/804/mariette-aernoudts,https://drive.google.com/drive/folders/103P5t3vC2PVhrF4jMlSub6KdNWsryuQ_?usp=drive_link,,,,,
Mahdiyeh Afshar Bakeshloo,Photographers,https://www.all-about-photo.com/photographers/photographer/1089/mahdiyeh-afshar-bakeshloo,https://drive.google.com/drive/folders/1q-M0uSqNT_YgUEbh_ruVYxkYawEOzVnG?usp=drive_link,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Stephen Albair,Photographers,https://www.all-about-photo.com/photographers/photographer/915/stephen-albair,https://drive.google.com/drive/folders/12Uii1PKULGEPO5JPjEdF9tw0cc-bYY5c?usp=drive_link,,,,,
Kristoffer Albrecht,Photographers,https://www.all-about-photo.com/photographers/photographer/633/kristoffer-albrecht,,,,,,
Mauricio Alejo,Photographers,https://www.all-about-photo.com/photographers/photographer/748/mauricio-alejo,,,,,,
Thomas Michael Alleman,Photographers,https://www.all-about-photo.com/photographers/photographer/226/thomas-michael-alleman,,,,,,
,,https://www.all-about-photo.com/photographers/photographer/388/peter-allert,,,,,,
Hannah Altman,Photographers,https://www.all-about-photo.com/photographers/photographer/1117/hannah-altman,,,,,,
Anton Alymov,Photographers,https://www.all-about-photo.com/photographers/photographer/956/anton-alymov,,,,,,
Evan Anderman,Photographers,https://www.all-about-photo.com/photographers/photographer/663/evan-anderman,,,,,,
Martin Andersen,Photographers,https://www.all-about-photo.com/photographers/photographer/965/martin-andersen,,,,,,
Christopher Anderson,Photographers,https://www.all-about-photo.com/photographers/photographer/298/christopher-anderson,,,,,,
Ted Anderson,Photographers,https://www.all-about-photo.com/photographers/photographer/531/ted-anderson,,,,,,
,,,,,,,,
Chris Anthony,Photographers,https://www.all-about-photo.com/photographers/photographer/490/chris-anthony,,,,,,
Carlos Antonorsi,Photographers,https://www.all-about-photo.com/photographers/photographer/913/carlos-antonorsi,,,,,,
Alexander Anufriev,Photographers,https://www.all-about-photo.com/photographers/photographer/668/alexander-anufriev,,,,,,
Kyle Abraham,Choreographer,https://en.wikipedia.org/wiki/Kyle_Abraham,https://drive.google.com/drive/folders/1pC33JSTEO6q9ywPwaRbFxtJSpzoLVW1E?usp=drive_link,,26.1K,,,
Debbie Allen,Choreographer,https://en.wikipedia.org/wiki/Debbie_Allen,https://drive.google.com/drive/folders/1_pJKa0OrjMsG_7DtL4Pa0scjuKuxeBF7?usp=drive_link,,2.4M,,,
Melissa Barak,Choreographer,https://en.wikipedia.org/wiki/Melissa_Barak,https://drive.google.com/drive/folders/1h4hLZDnsAYQfXp4B40N8AkS-O5R9C_gV?usp=drive_link,,,,,
Aszure Barton,Choreographer,https://en.wikipedia.org/wiki/Aszure_Barton,https://drive.google.com/drive/folders/1xm-JoE4zKvlXTyerjg729vkdmEkYM_Uq?usp=share_link,,,,,
Toni Basil,Choreographer,https://en.wikipedia.org/wiki/Toni_Basil,https://drive.google.com/drive/folders/1ecCCayahrpaTjOq2dh4p4GPOdTUjw0q3?usp=drive_link,,,,,
Paul Becker,Choreographer,https://en.wikipedia.org/wiki/Paul_Becker,https://drive.google.com/drive/folders/154XbJKkGM1tA6-8KC6w3gvOzpvwPwx_Y?usp=drive_link,,,,,
Bruno Beltrão,Choreographer,https://en.wikipedia.org/wiki/Bruno_Beltr%C3%A3o,https://drive.google.com/drive/folders/1CyboTy6EqEmsTwYYuKW5Yx77_ZcJyODg?usp=drive_link,,,,,
Mauro Bigonzetti,Choreographer,https://en.wikipedia.org/wiki/Mauro_Bigonzetti,,,,,,
Walter Bobbie,Choreographer,https://en.wikipedia.org/wiki/Walter_Bobbie,,,,,,
Jonah Bokaer,Choreographer,https://en.wikipedia.org/wiki/Jonah_Bokaer,,,,,,
Matthew Bourne,Choreographer,https://en.wikipedia.org/wiki/Matthew_Bourne,,,,,,
Chris Brown,Choreographer,https://en.wikipedia.org/wiki/Chris_Brown,,,,,,
Christopher Bruce,Choreographer,https://en.wikipedia.org/wiki/Christopher_Bruce,,,,,,
Jean Butler,Choreographer,https://en.wikipedia.org/wiki/Jean_Butler,,,,,,
Jonathan Stuart Cerullo,Choreographer,https://en.wikipedia.org/wiki/Jonathan_Stuart_Cerullo,,,,,,
Kate Champion,Choreographer,https://en.wikipedia.org/wiki/Kate_Champion,,,,,,
Sean Cheesman,Choreographer,https://en.wikipedia.org/wiki/Sean_Cheesman,,,,,,
Sidi Larbi Cherkaoui,Choreographer,https://en.wikipedia.org/wiki/Sidi_Larbi_Cherkaoui,,,,,,
,,,,,,,,
,Choreographer,https://en.wikipedia.org/wiki/Joyce_Ching,,,,,,
Marie Chouinard,Choreographer,https://en.wikipedia.org/wiki/Marie_Chouinard,,,,,,
Aitor Throup,Fashion Designer,https://en.wikipedia.org/wiki/Aitor_Throup,https://drive.google.com/drive/folders/10KBO6hXxP3Aga9dkVGACSoNwhr8rHxFt?usp=drive_link,,37.8K,,,
Gustavo Cadile,Fashion Designer,https://en.wikipedia.org/wiki/Gustavo_Cadile,https://drive.google.com/drive/folders/1noFjUnA5ZADxHa1UVLNpgBFOLBV2_0Q8?usp=drive_link,,11.1K,,,
Pilar Zeta,Fashion Designer,https://en.wikipedia.org/wiki/Pilar_Zeta,https://drive.google.com/drive/folders/16f3ea3Dc4QNLeIo9nFPgYQFuRbIbkB6d?usp=drive_link,,,,,
Jessie Hill,Fashion Designer,https://en.wikipedia.org/wiki/Jessie_Hill_(fashion_designer),https://drive.google.com/drive/folders/10Tsh0y6k7dn23GCD-n3_ZLOZ8zg0pcuf?usp=share_link,,,,,
Jenny Kee,Fashion Designer,https://en.wikipedia.org/wiki/Jenny_Kee,https://drive.google.com/drive/folders/1RMa25kdgJH6dFMP2i3Vgq4CkCpykoMcV?usp=drive_link,,,,,
Bettina Liano,Fashion Designer,https://en.wikipedia.org/wiki/Bettina_Liano,https://drive.google.com/drive/folders/1sRsp5RL68IRRtl6SvlM_kWvf2Uu4G4DM?usp=drive_link,,,,,
Jacob Luppino,Fashion Designer,https://en.wikipedia.org/wiki/J%27Aton_Couture,https://drive.google.com/drive/folders/1NGSwzgxz_4lijBNJoWciBIpgxx12OwZS?usp=drive_link,,,,,
Toni Matičevski,Fashion Designer,https://en.wikipedia.org/wiki/Toni_Mati%C4%8Devski,https://drive.google.com/drive/folders/17OLZveXB_QC4biI4rcPTedzUM_Zf_z8Q?usp=drive_link,,,,,
Dannii Minogue,Fashion Designer,https://en.wikipedia.org/wiki/Dannii_Minogue,,,,,,
Peter Morrissey,Fashion Designer,https://en.wikipedia.org/wiki/Peter_Morrissey,,,,,,
Alex Perry,Fashion Designer,https://en.wikipedia.org/wiki/Alex_Perry,,,,,,
Katie Perry,Fashion Designer,https://en.wikipedia.org/wiki/Katie_Perry,https://drive.google.com/drive/folders/1jUZCa4sfTMy5YUN59DWFanLE2Zijs4MD?usp=drive_link,,206M,,,
Anthony Pittorino,Fashion Designer,https://en.wikipedia.org/wiki/J%27Aton_Couture,,,,,,
Gary Zecevic,Fashion Designer,https://en.wikipedia.org/wiki/Calibre_(menswear),,,,,,
Kay Cohen,Fashion Designer,https://en.wikipedia.org/wiki/Kay_Cohen,,,,,,
Keri Craig-Lee,Fashion Designer,https://en.wikipedia.org/wiki/Keri_Craig-Lee,,,,,,
Leona Edmiston,Fashion Designer,https://en.wikipedia.org/wiki/Leona_Edmiston,,,,,,
Rachel Dean,Fashion Designer,https://en.wikipedia.org/wiki/Rachel_Dean,,,,,,
Ray Brown,Fashion Designer,https://en.wikipedia.org/wiki/Ray_Brown_(designer),,,,,,
Sarah-Jane Clarke,Fashion Designer,https://en.wikipedia.org/wiki/Sarah-Jane_Clarke,https://drive.google.com/drive/folders/1W6BMknYWUXJ5G8uq-pAIW-HzVnhRLJ-B?usp=drive_link,,39.4k,,,
Susien Chong,Fashion Designer,https://en.wikipedia.org/wiki/Susien_Chong,,,,,,
Yeojin Bae,Fashion Designer,https://en.wikipedia.org/wiki/Yeojin_Bae,,,,,,
Werner Baldessarini,Fashion Designer,https://en.wikipedia.org/wiki/Werner_Baldessarini,,,,,,
Sigmar Berg,Fashion Designer,https://en.wikipedia.org/wiki/Sigmar_Berg,,,,,,
Helmut Lang,Fashion Designer,https://en.wikipedia.org/wiki/Helmut_Lang_(artist),,,,,,
Michael Lanner,Fashion Designer,https://en.wikipedia.org/wiki/Gebr%C3%BCder_Stitch,,,,,,
Birgit C. Muller,Fashion Designer,https://en.wikipedia.org/wiki/Birgit_C._Muller,,,,,,
Moriz Piffl-Perčević,Fashion Designer,https://en.wikipedia.org/wiki/Gebr%C3%BCder_Stitch,,,,,,
Maheen Khan,Fashion Designer,https://en.wikipedia.org/wiki/Maheen_Khan_(Bangladesh),,,,,,
Bibi Russell,Fashion Designer,https://en.wikipedia.org/wiki/Bibi_Russell,,,,,,
Biplob Saha,Fashion Designer,https://en.wikipedia.org/wiki/Biplob_Saha,,,,,,
Asma Sultana,Fashion Designer,https://en.wikipedia.org/wiki/Asma_Sultana,,,,,,
Rihanna,Fashion Designer,https://en.wikipedia.org/wiki/Rihanna,,,,,,
,,,,,,,,
Dirk Bikkembergs,Fashion Designer,https://en.wikipedia.org/wiki/Dirk_Bikkembergs,,,,,,
Veronique Branquinho,Fashion Designer,https://en.wikipedia.org/wiki/Veronique_Branquinho,,,,,,
Christophe Coppens,Fashion Designer,https://en.wikipedia.org/wiki/Christophe_Coppens,,,,,,
Tim Coppens,Fashion Designer,https://en.wikipedia.org/wiki/Tim_Coppens,,,,,,
Ann Demeulemeester,Fashion Designer,https://en.wikipedia.org/wiki/Ann_Demeulemeester,,,,,,
Désirée zu Hohenlohe-Langenburg,Fashion Designer,https://en.wikipedia.org/wiki/D%C3%A9sir%C3%A9e_zu_Hohenlohe-Langenburg,,,,,,
Cedric Jacquemyn,Fashion Designer,https://en.wikipedia.org/wiki/Cedric_Jacquemyn,,,,,,
Martin Margiela,Fashion Designer,https://en.wikipedia.org/wiki/Martin_Margiela,,,,,,
Bruno Pieters,Fashion Designer,https://en.wikipedia.org/wiki/Bruno_Pieters,,,,,,
Cathy Pill,Fashion Designer,https://en.wikipedia.org/wiki/Cathy_Pill,,,,,,
Arifur Rahman,Caricaturists,https://en.wikipedia.org/wiki/Arifur_Rahman,https://drive.google.com/drive/folders/1-yaYHW1mQ9pXxfeOvhxPKeGZWhhBzXz7?usp=drive_link,,708,,,
Bill Plympton,Caricaturists,https://en.wikipedia.org/wiki/Bill_Plympton,https://drive.google.com/drive/folders/1u7ptyDwOhvq6PaPLn76BgpsEEmlZxR8o?usp=drive_link,,12.8K,,,
Bob Staake,Caricaturists,https://en.wikipedia.org/wiki/Bob_Staake,https://drive.google.com/drive/folders/16zE9Ivl167d3a29ppbmZ_ArSN7oRZSM7?usp=drive_link,,,,,
Cem Kiziltug,Caricaturists,https://en.wikipedia.org/wiki/Cem_Kiziltug,https://drive.google.com/drive/folders/1drh-TfK_AjjT4e_hMCx2_5v29mIVq6rH?usp=share_link,,,,,
Daniel Stieglitz,Caricaturists,https://en.wikipedia.org/wiki/Daniel_Stieglitz,https://drive.google.com/drive/folders/1tfI2a6Wwbl5k5zsDd1Mi4FAGR-ftaAgQ?usp=share_link,,,,,
Dušan Petričić,Caricaturists,https://en.wikipedia.org/wiki/Du%C5%A1an_Petri%C4%8Di%C4%87,https://drive.google.com/drive/folders/1LMt2I0MLWeiXHDZAxwbhW9wAZang_kM7?usp=drive_link,,,,,
Emad Hajjaj,Caricaturists,https://en.wikipedia.org/wiki/Emad_Hajjaj,https://drive.google.com/drive/folders/12GvTGWKSVzvfW3Ye6Ye877wLMr--k20c?usp=drive_link,,,,,
Gavin Bell,Caricaturists,https://en.wikipedia.org/w/index.php?title=Gavin_Bell&action=edit&redlink=1,https://drive.google.com/drive/folders/1_pP9LDzgk4nQSefsLwFugsih7z1K4fFs?usp=drive_link,,,,,
George Bahgoury,Caricaturists,https://en.wikipedia.org/wiki/George_Bahgoury,https://drive.google.com/drive/folders/1Ia1aoUOot85Z2WTfeKa0YFj0AmRaLV79?usp=drive_link,,,,,
Gerald Scarfe,Caricaturists,https://en.wikipedia.org/wiki/Gerald_Scarfe,https://drive.google.com/drive/folders/1Ia1aoUOot85Z2WTfeKa0YFj0AmRaLV79?usp=drive_link,,,,,
Gerhard Haderer,Caricaturists,https://en.wikipedia.org/wiki/Gerhard_Haderer,,,,,,
Glynis Sweeny,Caricaturists,https://en.wikipedia.org/wiki/Glynis_Sweeny,,,,,,
Henry Wigstead,Caricaturists,https://en.wikipedia.org/wiki/Henry_Wigstead,,,,,,
Hermann Mejia,Caricaturists,https://en.wikipedia.org/wiki/Hermann_Mejia,,,,,,
Jaume Capdevila,Caricaturists,https://en.wikipedia.org/wiki/Jaume_Capdevila,,,,,,
Javad Alizadeh,Caricaturists,https://en.wikipedia.org/wiki/Javad_Alizadeh,,,,,,
Jim McDermott,Caricaturists,https://en.wikipedia.org/wiki/Jim_McDermott_(illustrator),,,,,,
Jovan Prokopljević,Caricaturists,https://en.wikipedia.org/wiki/Jovan_Prokopljevi%C4%87,,,,,,
Karl Meersman,Caricaturists,https://en.wikipedia.org/wiki/Karl_Meersman,,,,,,
Ken Fallin,Caricaturists,https://en.wikipedia.org/wiki/Ken_Fallin,,,,,,
Kerry G. Johnson,Caricaturists,https://en.wikipedia.org/wiki/Kerry_G._Johnson,,,,,,
Kerry Waghorn,Caricaturists,https://en.wikipedia.org/wiki/Kerry_Waghorn,,,,,,
Marshall Jay Kaplan,Caricaturists,https://en.wikipedia.org/wiki/Marshall_Jay_Kaplan,,,,,,
Murray Webb,Caricaturists,https://en.wikipedia.org/wiki/Murray_Webb,,,,,,
Osama Hajjaj,Caricaturists,https://en.wikipedia.org/wiki/Osama_Hajjaj,,,,,,
Omaya Joha,Caricaturists,https://en.wikipedia.org/wiki/Omaya_Joha,,,,,,
Patrick Oliphant,Caricaturists,https://en.wikipedia.org/wiki/Patrick_Oliphant,,,,,,
Philip Burke,Caricaturists,https://en.wikipedia.org/wiki/Philip_Burke,,,,,,
Prakash Shetty,Caricaturists,https://en.wikipedia.org/wiki/Prakash_Shetty,,,,,,
Predrag Koraksić Corax,Caricaturists,https://en.wikipedia.org/wiki/Predrag_Koraksi%C4%87_Corax,,,,,,
Ralph Steadman,Caricaturists,https://en.wikipedia.org/wiki/Ralph_Steadman,,,,,,
Robert Risko,Caricaturists,https://en.wikipedia.org/wiki/Robert_Risko,,,,,,
Sam Viviano,Caricaturists,https://en.wikipedia.org/wiki/Sam_Viviano,,,,,,
Seyran Caferli,Caricaturists,https://en.wikipedia.org/wiki/Seyran_Caferli,,,,,,
Shawn McManus,Caricaturists,https://en.wikipedia.org/wiki/Shawn_McManus,,,,,,
Shekhar Gurera,Caricaturists,https://en.wikipedia.org/wiki/Shekhar_Gurera,,,,,,
Steve Bell,Caricaturists,https://en.wikipedia.org/wiki/Steve_Bell_(cartoonist),,,,,,
Steve Brodner,Caricaturists,https://en.wikipedia.org/wiki/Steve_Brodner,,,,,,
Tom Bachtell,Caricaturists,https://en.wikipedia.org/wiki/Tom_Bachtell,,,,,,
Núria Añó,Biographer,https://en.wikipedia.org/wiki/N%C3%BAria_A%C3%B1%C3%B3,https://drive.google.com/drive/folders/1ydM_IBbrfzP4tmjucKxgLyCuBJmx7vp3?usp=drive_link,,453,,,
Robert A. Caro,Biographer,https://en.wikipedia.org/wiki/Robert_A._Caro,https://drive.google.com/drive/folders/1Db_Rkma0UmCHkQbwRlFluD59FQzB0_9A?usp=drive_link,,364,,,
Ron Chernow,Biographer,https://en.wikipedia.org/wiki/Ron_Chernow,https://drive.google.com/drive/folders/1_dAY9XDx5wTh0hdX2jXxrAcfZxshevT-?usp=drive_link,,,,,
Wayne Federman,Biographer,https://en.wikipedia.org/wiki/Wayne_Federman,https://drive.google.com/drive/folders/1YWtJGlb4LRW_N0qb4jzqhOa7JLNmPhVt?usp=share_link,,,,,
Kitty Ferguson,Biographer,https://en.wikipedia.org/wiki/Kitty_Ferguson,https://drive.google.com/drive/folders/13EUtoF9AHtQqWD86cr_41bO5bYCsB7Ea?usp=sharing,,,,,
Amanda Foreman,Biographer,https://en.wikipedia.org/wiki/Amanda_Foreman_(biographer),https://drive.google.com/drive/folders/1EM_NA7kE8Y4dvTV0eCxf-ZD4jg4MULV-?usp=drive_link,,,,,
Gary Giddins,Biographer,https://en.wikipedia.org/wiki/Gary_Giddins,https://drive.google.com/drive/folders/1gO6-1nzYgUkwQta2PdT4n2UqTIfEGdCF?usp=drive_link,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Gail Levin,Biographer,https://en.wikipedia.org/wiki/Gail_Levin_(art_historian),https://drive.google.com/drive/folders/1-oAIHS7RDBnFZb4KzZWLlyhcjdvBi7Zb?usp=drive_link,,"2,378",,,
James McGrath Morris,Biographer,https://en.wikipedia.org/wiki/James_McGrath_Morris,https://drive.google.com/drive/folders/1kdrEnEBgEyupZfMjKOh0flh36y7HHBCv?usp=drive_link,,N/A,,,
Jeffrey Morgan,Biographer,https://en.wikipedia.org/wiki/Jeffrey_Morgan_(writer),https://drive.google.com/drive/folders/1OTR3pfM9WlkLGEur741A0_V_XKdgbP9t?usp=drive_link,,,,,
Andrew Morton,Biographer,https://en.wikipedia.org/wiki/Andrew_Morton_(writer),https://drive.google.com/drive/folders/1YDB8bLsM-X6msRiCT3TGmrG3s2jNSPoA?usp=drive_link,,,,,
Anne Sebba,Biographer,https://en.wikipedia.org/wiki/Anne_Sebba,,,,,,
Miranda Seymour,Biographer,https://en.wikipedia.org/wiki/Miranda_Seymour,,,,,,
Kirit Shelat,Biographer,https://en.wikipedia.org/wiki/Kirit_Shelat,,,,,,
Laura J. Snyder,Biographer,https://en.wikipedia.org/wiki/Laura_J._Snyder,,,,,,
Carlos Adolfo Lehnebach,Botanists,https://en.wikipedia.org/wiki/Carlos_Adolfo_Lehnebach,https://drive.google.com/drive/folders/1OcXb8QLUTbWZsXU6SktHmoQIIwmcFDoI?usp=drive_link,,,,,
Ghillean Prance,Botanists,https://en.wikipedia.org/wiki/Ghillean_Prance,https://drive.google.com/drive/folders/1ynx4zit1pOBRTga1LuOzCexbgBc38QK7?usp=drive_link,,,,,
Tony Rodd,Botanists,https://en.wikipedia.org/wiki/Tony_Rodd,https://drive.google.com/drive/folders/1HC0InLOjQGRUoihWKy3sTKKOpr6uimPy?usp=share_link,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
David Aaker,Business theorist,https://en.wikipedia.org/wiki/David_Aaker,https://drive.google.com/drive/folders/12pwI6IChIhj0Axnv22yqugTFAHQTVqYF?usp=drive_link,,,,,
