Personality Name,Profession,Source,Link to Individual Personality Sheet,Posts,Instagram Followers,Total Posts Created,Total Posts Published,Engagement Status
Timothée Chalamet,Actor,,https://drive.google.com/drive/folders/1ooPp64miDn8SP73Kwr5K6ajxCbvNSMX6?usp=drive_link,,18.6M,,,
Emma Stone,Actor,,https://drive.google.com/drive/folders/1d-FM-G5TBQEbin_noTs0MobBK32KrzPm?usp=drive_link,,N/A,,,
Jennifer Lawrence,Actor,,https://drive.google.com/drive/folders/14qz91nWOGM69nQMukIPSpsM5q5QsJtNI?usp=drive_link,,N/A,,,
Adele,Singer,,https://drive.google.com/drive/folders/1TS1kfmN5G9cgP7DXyhiwxiU-bLh5dwdX?usp=drive_link,,54.6M,,,
Rick Bayless,Chef,https://en.wikipedia.org/wiki/Rick_Bayless,https://drive.google.com/drive/folders/18aEtvwZaf5hIjwbVF0LGbzFFCWwOWOsf?usp=drive_link,,298K,,,
Lucinda Childs,Choreographer,https://en.wikipedia.org/wiki/Lucinda_Childs,https://drive.google.com/drive/folders/1KwKaM4EHjj5N3bvwZFBYeuZEULrHJVyT?usp=drive_link,,,,,
Keliy Anderson-Staley,Photographers,https://www.all-about-photo.com/photographers/photographer/363/keliy-anderson-staley,https://drive.google.com/drive/folders/1KQcWUqWEJhR9qz-ZxHibm_q1EfsowpNH?usp=drive_link,,,,,
Scott Zona,Botanists,https://en.wikipedia.org/wiki/Scott_Zona,https://drive.google.com/drive/folders/1kVL-74JbqXRPFsE6--pA-alHT982Crva?usp=drive_link,,,,,
Charles Woodburn,CEO,https://en.wikipedia.org/wiki/Charles_Woodburn,https://drive.google.com/drive/folders/1Z0rDPp23jTHBzpGwf0cBZccg_tEMdFI3?usp=drive_link,,,,,
Tapan Singhel,CEO,https://en.wikipedia.org/wiki/Tapan_Singhel,https://drive.google.com/drive/folders/1FGHd-P1rm2VSz5jB7FtRkk6fJ4XiVHeA?usp=drive_link,,,,,
Carlos Torres Vila,CEO,https://en.wikipedia.org/wiki/Carlos_Torres_Vila_(banker),https://drive.google.com/drive/folders/1VzuyQ3KutHxn-n73PHc5eL9P9xzJEl7x?usp=drive_link,,,,,
Dan Dunn,Caricaturists,https://en.wikipedia.org/wiki/Dan_Dunn_(cartoonist),https://drive.google.com/drive/folders/19Xseb2sxoDz4pfvvBtchAf3JjGY5fL3b?usp=drive_link,,,,,
Massimo Bottura,Chef,https://en.wikipedia.org/wiki/Massimo_Bottura,https://drive.google.com/drive/folders/1ulYGOl_qtwR7-Qioos3LCUXNBZbkx8wV?usp=drive_link,,,,,
Nihad Awad,Civil Rights Leader,https://www.usatoday.com/story/money/2020/06/07/19-of-the-most-influential-civil-rights-leaders-of-the-21st-century/111907158/,https://drive.google.com/drive/folders/1NfNsawTtkhwbOCyw6mlFuPCNA4qok7zp?usp=drive_link,,,,,
Jean Butler,Dancer,https://en.wikipedia.org/wiki/Jean_Butler,https://drive.google.com/drive/folders/1KO7MBr7VIrPwrHffhYxaQfopZ0-nrfBV?usp=drive_link,,,,,
Susan Athey,Economist,https://en.wikipedia.org/wiki/Susan_Athey,https://drive.google.com/drive/folders/1XRz2qPzF_fZ9aaJt_YgEIU2zk_u3OrnV?usp=drive_link,,,,,
Dmitry Sholokhov,Fashion Designer,https://en.wikipedia.org/wiki/Dmitry_Sholokhov,https://drive.google.com/drive/folders/18gg9fkdqqfWjC51EA2DaaJ6rA-YPmfFZ?usp=drive_link,,,,,
Kerry G. Johnson,Caricaturists,https://en.wikipedia.org/wiki/Kerry_G._Johnson,https://drive.google.com/drive/folders/1yo1NO6AahiCQnZVyfJueEuT6TMYeC98P?usp=drive_link,,,,,
Logan Westom,Photographers,,https://drive.google.com/drive/folders/11beoKzp0RoERFnDfHzYxDi8r1JLV_BvD?usp=drive_link,,N/A,,,
Sean Bankhead,Choreographer,,https://drive.google.com/drive/folders/1ibSlEd-92aq4-SCyrbe4IPXWR1BjyKIR?usp=drive_link,,486K,,,
Mo Amer,Comedian,https://en.wikipedia.org/wiki/Mo_Amer,https://drive.google.com/drive/folders/1xEz1qXg5RE5okg0WBso6mIuVgeU-6hTw?usp=drive_link,,294K,,,
Fernando Alonso,Driver,,https://drive.google.com/drive/folders/1aQmoRFs1x3om47AIlfl5l-A4Ose7wLgf?usp=drive_link,,6.3M,,,
Tracy Chou,Computer Scientist,https://en.wikipedia.org/wiki/Tracy_Chou,https://drive.google.com/drive/folders/1v1UQOBlrVi8LJNiX96X-qDO_RLweKFEe?usp=drive_link,,21.8K,,,
Mila Kunis,Actress,,https://drive.google.com/drive/folders/15HbNEPLlMsU_nCqd_-Pli8b9KcKLqwSS?usp=drive_link,,N/A,,,
Drew Barrymore,Actress,,https://drive.google.com/drive/folders/1fENkYz_e4xq4MlJDcBmOIoWup7unQ8P6?usp=drive_link,,17.3M,,,
Daniel Radcliffe,Actor,,https://drive.google.com/drive/folders/1Oies5XD8vLE4jjp9xCJg3KrM38LNcwq4?usp=drive_link,,N/A,,,
"
Shawn Holley",Lawyer,,https://drive.google.com/drive/folders/1m_2biGAFJq9cu7dpWR4nBIiMYoQ9jehq?usp=drive_link,,N/A,,,
Peter Allert,Photographers,,https://drive.google.com/drive/folders/1P1xplC9miKB7SZa8jkaoiCW10ZbCg39v?usp=drive_link,,N/A,,,
Sienna Lalau,Choreographer,,https://drive.google.com/drive/folders/1SJis6-TEIYwmOEX-Q3SkgpZg41eQc_PJ?usp=drive_link,,821K,,,
Leana Wen,Doctor,,https://drive.google.com/drive/folders/1Wn5cutmqpOjz6a-uasJGNksgOa1KDM5F?usp=drive_link,,27.2K,,,
Sanjay Gupta ,Doctor,,https://drive.google.com/drive/folders/1YMjZTZUI_5cf6M22i4DOKGoD47X8HocK?usp=drive_link,,N/A,,,
Camille Vasquez,Attorney,,https://drive.google.com/drive/folders/1fxNSJB_hpUFX2BIwCclgqx4AKLz0pWts?usp=sharing,,N/A,,,
Nick Woodman,Entrepreneur,,https://drive.google.com/drive/folders/1qrEey8rqTi-5jNeYVgByN6fkHbcsd3Zf?usp=drive_link,,N/A,,,
Marissa Mayer,CEO,,https://drive.google.com/drive/folders/1uXqJklWlA6ySrEuflhgmn49FpDVEu4f3?usp=drive_link,,N/A,,,
Stewart Butterfield,CEO,,https://drive.google.com/drive/folders/1a3sSUwATqoaJlUqKGsJ_ZJuFO9tDhZak?usp=drive_link,,7.4K,,,
"
Ann Handley",Author,,https://drive.google.com/drive/folders/1Af8Dp_PFcADbeq9-aZbPg53_k6v0Lllq?usp=sharing,,N/A,,,
"
Scott Stratten",Entrepreneur,,https://drive.google.com/drive/folders/1GgtXOOLJiioPAu-dJQ5sv2XeCkOeNqay?usp=drive_link,,N/A,,,
Sam Niel ,Actor,,https://drive.google.com/drive/folders/1oG3TcVECzzoGJ9lq8mXD8rpMY9D1jLUc?usp=drive_link,,592K,,,
Angela Trimbur,Comedian,,https://drive.google.com/drive/folders/1eOh5tFuPj_fTP9HXqZgEh1znJNIluYTV?usp=drive_link,,102K,,,
Richard E Grant,Actor,,https://drive.google.com/drive/folders/186sWXCB8TrywiB88aYaQjlkBtap6TFs3?usp=drive_link,,525K,,,
Tracee Ellis Ross,Actress,,https://drive.google.com/drive/folders/1qszPu-McjFaZq7OmhZkeXN5SlEB5e4kV?usp=drive_link,,11.3M,,,
Brad Leone,Chef,,https://drive.google.com/drive/folders/1bmfGDGOM69JKapUiFtCUrUuOXkQAbB4H?usp=drive_link,,807K,,,
Charlie McCormick,Influencer,,https://drive.google.com/drive/folders/1iK3n336srP74PfCQ0EDPN-PtUCQlLI04?usp=sharing,,N/A,,,
alexandre touguet,Industrial Engineer,,,,N/A,,,
Kati Forner,Graphic Designer,,,,N/A,,,
Satya Nadella,CEO,,https://drive.google.com/drive/folders/1dRLlfJBf5VckuL985gJuZCNYwYCzaPMC?usp=drive_link,,8,,,
Andy Murray,Tennis Player,,https://drive.google.com/drive/folders/1JL-AS5pAH24_EmDbtvyqBozYnhWgX-An?usp=drive_link,,2M,,,
Marta Veludo,Designer,,,,N/A,,,
Hayao Miyazaki,Artist ,,https://drive.google.com/drive/folders/1aGrGCSOYszx8gRbIuU0uhM9TT2nzEM9i?usp=drive_link,,N/A,,,
John Green,Author,,https://drive.google.com/drive/folders/1Te2P_-yO35oa9XFf5fKj2a-1IXe0DtkI?usp=drive_link,,2.1M,,,
Elif Shafak,Author,,https://drive.google.com/drive/folders/175zMH-Dm5ZL-TSeKYPXgFKkw6rEa58Xq?usp=drive_link,,267K,,,
Steve Chen,Co-Founder Youtube,,https://drive.google.com/drive/folders/1g-9G3_gZ9QNmuJCs8QROjLVWFyGMeI94?usp=sharing,,6.8K,,,
Bryan Adams,Photographers,https://www.all-about-photo.com/photographers/photographer/216/bryan-adams,https://drive.google.com/drive/folders/1HVibFSxLTRF8Wpy6uQoMbnB3sR1bYOX9?usp=drive_link,,1.1M,,,
"Yoon Ahn
",Fashion Designer,,https://drive.google.com/drive/folders/1c3xx9fIVZbvjO34n51M6aSFga40LNF1q?usp=drive_link,,N/A,,,
Christopher John Rogers,Fashion Designer,,https://drive.google.com/drive/folders/1huhSXcXJ4A5TNbnJ19RZjK72nP5EYfpa?usp=drive_link,,298K,,,
John Doerr,CEO,,https://drive.google.com/drive/folders/1uHT5uKUe_2JXW8dNuZpRKT2--b5QZXcB?usp=drive_link,,N/A,,,
Michael Arrington,Investor,,https://drive.google.com/drive/folders/1nkmivnk-gl1Rbiz62eHzXuy6pizFYT4x?usp=sharing,,N/A,,,
Hideo Kojima,Game Designer,,https://drive.google.com/drive/folders/1Bb8RCqVpOkEZoIfwNgY3WC129eSjjNmr?usp=sharing,,2M,,,
Alberto ‘Beto’ Perez,Entrepreneur,,https://drive.google.com/drive/folders/1R2fTutBGZV9StzYwkanQPIBzsc6NWWYE?usp=drive_link,,N/A,,,
Jordi Munoz,Robotic Scientist,,https://drive.google.com/drive/folders/1d6C0kycIzWuKVEdp5un3uwQNr1tNy619?usp=drive_link,,N/A,,,
Hironobu Sakaguchi,Game Designer,,https://drive.google.com/drive/folders/1gOWySvepDv1HXROt8aU_dGAUDMEtzB4p?usp=sharing,,N/A,,,
Jen-Hsun Huang,CEO,,https://drive.google.com/drive/folders/1fZxhfW1D8UroGtM6ltptWQFKmrmAjruD?usp=sharing,,N/A,,,
Alice Walker,Author,,https://drive.google.com/drive/folders/1LTFmINLHcSjDRWnSx5krqGKNc0qq3WJn?usp=sharing,,N/A,,,
Shinji Kagawa,Athlete,,https://drive.google.com/drive/folders/1vKUo_3fcTQCwtzMYIi1i-YLd6UwZa_Uj?usp=sharing,,1.7M,,,
Geisha Williams,CEO,,https://drive.google.com/drive/folders/1ZTwwsn7c4F_A5HF5caeRA915YC2LJNiQ?usp=sharing,,N/A,,,
Meryl Streep,Actors,https://www.imdb.com/name/nm0000658,https://drive.google.com/drive/folders/1LPxM1tqe3fCQckVvb55KFsQi-4G_zWmV?usp=drive_link,,674K,,,
Daniel Day-Lewis,Actors,https://www.imdb.com/name/nm0000358,https://drive.google.com/drive/folders/1klmDg3MJoRbLyemT0LXZsIa9Ya3xB5ds?usp=drive_link,,40.5K,,,
Tom Hanks,Actors,https://www.imdb.com/name/nm0000158,https://drive.google.com/drive/folders/1MiwLAZ1pBr0VcH7bwNc5149zIoE3XPq2?usp=drive_link,,9.5M,,,
Leonardo DiCaprio,Actors,https://www.imdb.com/name/nm0000138,https://drive.google.com/drive/folders/1wd0dTyE7Ve_Y_vD0rVa4vaiWUchn03jp?usp=drive_link,,61.4M,,,
Cate Blanchett,Actors,https://www.imdb.com/name/nm0000949,https://drive.google.com/drive/folders/1vF15lPz2tpkVNSnv1JvbvfMC0sBavtxY?usp=drive_link,,501K,,,
Kate Winslet,Actors,https://www.imdb.com/name/nm0000701,https://drive.google.com/drive/folders/1jMAX2AhNO5yhVk8mdnXaaDT-g-myZCjD?usp=drive_link,,1.4M,,,
Shah Rukh Khan,Actors,https://www.imdb.com/name/nm0451321,https://drive.google.com/drive/folders/10FcgPNrmzGWWqDMSdtWsR8uNdnupsvkb?usp=drive_link,,42.8M,,,
Sumaya Agha,Photographers,https://www.all-about-photo.com/photographers/photographer/692/sumaya-agha,,,,,,
Alexandrino Lei Airosa,Photographers,https://www.all-about-photo.com/photographers/photographer/739/alexandrino-lei-airosa,,,,,,
Guilhem Alandry,Photographers,https://www.all-about-photo.com/photographers/photographer/239/guilhem-alandry,,,,,,
Lisa Ho,Fashion Designer,https://en.wikipedia.org/wiki/Lisa_Ho,,,,,,
Linda Jackson,Fashion Designer,https://en.wikipedia.org/wiki/Linda_Jackson_(designer),,,,,,
Storm Keating,Fashion Designer,https://en.wikipedia.org/wiki/Storm_Keating,,,,,,
Walter Isaacson,Biographer,https://en.wikipedia.org/wiki/Walter_Isaacson,,,,,,
Kathleen Jones,Biographer,https://en.wikipedia.org/wiki/Kathleen_Jones,,,,,,
Robert Lacey,Biographer,https://en.wikipedia.org/wiki/Robert_Lacey,,,,,,
Lois Ellen Frank,Chef,https://en.wikipedia.org/wiki/Lois_Ellen_Frank,https://drive.google.com/drive/folders/1Q46F0iAjbIFb6CEJq5fnnZGOKeTtueCU?usp=drive_link,,N/A,,,
Laura Frankel,Chef,https://en.wikipedia.org/wiki/Laura_Frankel_(chef),https://drive.google.com/drive/folders/1mlpnOxqkVZuYpCoFG7HJQfKDPbhBAVKZ?usp=drive_link,,382,,,
Pierre Gagnaire,Chef,https://en.wikipedia.org/wiki/Pierre_Gagnaire,,,361K,,,
Ina Garten,Chef,https://en.wikipedia.org/wiki/Ina_Garten,,,4.1M,,,
Lisa Su,CEO,https://en.wikipedia.org/wiki/Lisa_Su,https://drive.google.com/drive/folders/1Ywv7LeaE8Q2B6rmAKngO0I1oTVxNQops?usp=drive_link,,N/A,,,
Stephen Squeri,CEO,https://en.wikipedia.org/wiki/Stephen_Squeri,https://drive.google.com/drive/folders/118E5Jpd7CSK35BxE8QZLLvO21AU7gTor?usp=drive_link,,N/A,,,
Doug Parker,CEO,https://en.wikipedia.org/wiki/Doug_Parker,https://drive.google.com/drive/folders/1RB8UWyPmzbOe8wBXxR1XrB9IIHPEvL9O?usp=drive_link,,12K,,,
Joseph R. Swedish,CEO,https://en.wikipedia.org/wiki/Joseph_R._Swedish,https://drive.google.com/drive/folders/1NX8C3mbod5JQiorHEFerpJGF3zgVr6PE?usp=drive_link,,N/A,,,
Alvaro,DJ,https://en.wikipedia.org/wiki/Alvaro_(DJ),,,,,,
Angger Dimas,DJ,https://en.wikipedia.org/wiki/Angger_Dimas,,,,,,
Amelie Lens,DJ,https://en.wikipedia.org/wiki/Amelie_Lens,,,,,,
Samantha Bee,Comedian,https://en.wikipedia.org/wiki/Samantha_Bee,https://drive.google.com/drive/folders/1OJmXtFn_bx4sHH8dEbYSWTuOSY4CHjSD?usp=sharing,,481K,,,
Greg Behrendt,Comedian,https://en.wikipedia.org/wiki/Greg_Behrendt,https://drive.google.com/drive/folders/135vc-iRuxdeHCoEsZ9yMXJQrIahkWEIX?usp=drive_link,,7.9K,,,
W. Kamau Bell,Comedian,https://en.wikipedia.org/wiki/W._Kamau_Bell,https://drive.google.com/drive/folders/1-IK0ZWXQEyTlrs7AMfPQONpnrG5RUfPy?usp=sharing,,350K,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Joy Buolamwini,Computer Scientist,,https://drive.google.com/drive/folders/1Qg_kSMpKpBtqXL0gFGiDW7t-zDZatrPB?usp=drive_link,,,,,
Padmasree Warrior,CTO,,https://drive.google.com/drive/folders/1-EZ5wiJI8b4d_xxmigGcTEIYSHW9Xuy8?usp=drive_link,,,,,
"Eva Chen
",Journalist,,https://drive.google.com/drive/folders/1pzBMO8Djyts0_at7LF47eFm6RAIQi9ep?usp=drive_link,,,,,
"Fei-Fei Li
",Computer Scientist,,https://drive.google.com/drive/folders/1hRg5IfX9Y89vht7y-sm9HN9Kt-RGeBTa?usp=drive_link,,,,,
Andy Jassy,CEO,,https://drive.google.com/drive/folders/1okrD3e6ZxRYiwX6nsjReKaN8pcIDLpQW?usp=drive_link,,,,,
Mary Barra,CEO,,https://drive.google.com/drive/folders/1Xs273OUplfay61Pzxtj6xgtlqbMJ00bg?usp=drive_link,,,,,
Ken Jeong,Actors,,https://drive.google.com/drive/folders/1KvQzRF7XnNJVXyYmv1kIyDcroflkrCIS?usp=share_link,,,,,
Stephanie Ricca,Editor,,https://drive.google.com/drive/folders/1n9VEiBdC89xLxUczt5eRvmNOO7eJITec?usp=share_link,,,,,
Bruce Faber,Entrepreneur,,https://drive.google.com/drive/folders/1e1P2JAI6xRHz-ovfCPatNjHpXCcn2Nj-?usp=share_link,,,,,
FREDRICKA WHITFIELD,Journalist,,https://drive.google.com/drive/folders/1e1P2JAI6xRHz-ovfCPatNjHpXCcn2Nj-?usp=share_link,,,,,
CHRISTIANE AMANPOUR,Journalist,,https://drive.google.com/drive/folders/1B9Tk1jUCOWb14J3KP3tABpHH-5bYOEe6?usp=share_link,,,,,
SHEREEN BHAN,Journalist,,https://drive.google.com/drive/folders/1B9Tk1jUCOWb14J3KP3tABpHH-5bYOEe6?usp=share_link,,,,,
"Lindsey Ueberroth
",CEO,,https://drive.google.com/drive/folders/13jQVp-aNmpkRQyOnj1_TuFff2TYym1kp?usp=share_link,,,,,
Jesse Tyler Ferguson,Actors,,https://drive.google.com/drive/folders/1VjVNOVpYi6Lc7oS-p0OUNhhea7Nubuah?usp=share_link,,,,,
Alice Vincent,Gardener,,https://drive.google.com/drive/folders/1AfF9JF3LtLXa9qtk-zePa_wgUUA6Q4k1?usp=drive_link,,,,,
Charlie McCormick,Gardener,,https://drive.google.com/drive/folders/1BmpVSYKeSs_yBlPnOGsHTqaXuIUDd75L?usp=drive_link,,,,,
Fergus Garrett,Gardener,,https://drive.google.com/drive/folders/13eQrilOauU9bX_fcS9OL2htWWbzwJKY5?usp=drive_link,,,,,
Benny Blanco,Music Producer,,https://drive.google.com/drive/folders/1NXZb5SiOEBTW-3lhuxh1MaN4rUEe3yDK?usp=drive_link,,,,,
Joel Little,Music Producer,,https://drive.google.com/drive/folders/1YWBdRmCgMQonI4mIHNirp_pg2iX681Ej?usp=drive_link,,,,,
Rob Cavallo,Music Producer,,https://drive.google.com/drive/folders/1kHfDXiD3NeJHXDPyj2U4g_E6NH-86_R0?usp=drive_link,,,,,
Alexa L. Fogel,Casting Director ,,https://drive.google.com/drive/folders/1ReG0y1y6C3ha80a3G2UlT2hpem6Ow9UB?usp=drive_link,,,,,
Ted Chiang,Writer,,https://drive.google.com/drive/folders/1axOhGyhyaIQDVM2jWfZXi8dKQ37sBTXv?usp=drive_link,,,,,
Jim Farley,CEO,,https://drive.google.com/drive/folders/1LXV28gmWgOglwOQ3lbWvOQ9W2cKOLHD1?usp=sharing,,,,,
Akio Toyoda,CEO,,https://drive.google.com/drive/folders/15dW24XOMKTcdrX0pCFMAWFOITgeSEcu8?usp=drive_link,,,,,
Ralph Gilles,Designer,,https://drive.google.com/drive/folders/1vyy6E-Je8x8mnWWUUdHKLtcrVpIXEW4T?usp=drive_link,,,,,
Michael Simcoe,Designer,,https://drive.google.com/drive/folders/1hd1WTRLPTMPVDJiuVbeNqe8LT1ZYhuj_?usp=drive_link,,,,,
Beth Paretta,Director,,https://drive.google.com/drive/folders/1gzuWOvaNYku9POyIEcEnms6HZ6TW9aqZ?usp=drive_link,,,,,
Lily Singh,Video Producer,https://drive.google.com/drive/folders/1GUwMAm-dinb3O2cWq6ZSRZ7sI30nkGNP?usp=drive_link,https://drive.google.com/drive/folders/1GUwMAm-dinb3O2cWq6ZSRZ7sI30nkGNP?usp=drive_link,,,,,
Graham Steven,Video Producer,,https://drive.google.com/drive/folders/1VHHBrNsf39-9kWtHtdAiw2pQIBVuplzY?usp=drive_link,,,,,
Luisito Comunica,Video Producer,,https://drive.google.com/drive/folders/1ZBv2oBLICct01Vz76dq13nnle2GteQcM?usp=drive_link,,,,,
Jonah Peretti,CEO,,https://drive.google.com/drive/folders/1jWSWD1cyqXsLpDq79MjsCOg2-qc4faoy?usp=drive_link,,,,,
Ryan Lewis,Videographer,,https://drive.google.com/drive/folders/1DvrcgShhNQFoavZiWQo6-j0m9gG5ctD3?usp=drive_link,,,,,
ryan chetiyawardana,Bartender,,,,,,,
Sonya Belousova,Composer,,https://drive.google.com/drive/folders/1eZE_OGzgpiJuOnWugOYX6cfQ3ZNI49_1?usp=drive_link,,,,,
Giona Ostinelli,Composer,,https://drive.google.com/drive/folders/1UZUh9F8YIeAdvS_8GV8MxnsMfjvpgekw?usp=drive_link,,,,,
Mohanlal,Actors,https://www.imdb.com/name/nm0482320,,,,,,
Harrison Ford,Actors,https://www.imdb.com/name/nm0000148,,,,,,
Forest Whitaker,Actors,https://www.imdb.com/name/nm0001845,,,,,,
Dustin Hoffman,Actors,https://www.imdb.com/name/nm0000163,,,,,,
Tom Cruise,Actors,https://www.imdb.com/name/nm0000129,,,,,,
Samuel L Jackson,Actors,https://www.imdb.com/name/nm0000168,,,,,,
Don Cheadle,Actors,https://www.imdb.com/name/nm0000332,,,,,,
Antonio Banderas,Actors,https://www.imdb.com/name/nm0000104,,,,,,
Eddie Murphy,Actors,https://www.imdb.com/name/nm0000552,,,,,,
Anthony Hopkins,Actors,https://www.imdb.com/name/nm0000164,,,,,,
Diane Keaton,Actors,https://www.imdb.com/name/nm0000473,,,,,,
